Subdomain,CNAME (Pointed To),DNS Status,HTTP Status,Provider,Signature,DNS Lookup Result,Security Issue,Risk Level,Risk Label,Server Header,Scanned At
nagios1.iad1.gcpfed.playskope.com.,34.96.71.0,A,0 (Connection Failed),Unknown Provider,Unknown Provider - Connection Failed,A -> 34.96.71.0,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:38:41.882241+00:00
netskope-cp-test-1-donotuse.playskope.com.,34.84.73.95,A,0 (Timeout),Unknown Provider,Unknown Provider - Timeout,A -> 34.84.73.95,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:39:00.620630+00:00
non-prod-salt1.pdx1.playskope.com.,35.197.64.242,A,0 (Timeout),Unknown Provider,Unknown Provider - Timeout,A -> 35.197.64.242,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:39:17.864398+00:00
npe.playskope.com.,107.178.253.213,A,200,Unknown Provider,Unknown Provider - HTTP 200,A -> 107.178.253.213,None - Active Service,MEDIUM,Active Subdomain - Verify Ownership,ESF,2026-02-11T03:39:23.081472+00:00
peas.playskope.com.,35.241.53.187,A,200,Unknown Provider,Unknown Provider - HTTP 200,A -> 35.241.53.187,None - Active Service,MEDIUM,Active Subdomain - Verify Ownership,ESF,2026-02-11T03:39:27.212899+00:00
privx.playskope.com.,34.83.141.154,A,0 (Timeout),Unknown Provider,Unknown Provider - Timeout,A -> 34.83.141.154,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:39:45.684015+00:00
ptolemy01.iad1.gcpfed.playskope.com.,35.201.108.254,A,404,Unknown Provider,Unknown Provider - HTTP 404,A -> 35.201.108.254,Dangling DNS Record,HIGH,Dangling Subdomain - Manual Validation Required,,2026-02-11T03:39:49.084244+00:00
redshirt01.iad1.gcpfed.playskope.com.,130.211.44.24,A,200,Unknown Provider,Unknown Provider - HTTP 200,A -> 130.211.44.24,None - Active Service,MEDIUM,Active Subdomain - Verify Ownership,Google Frontend,2026-02-11T03:39:53.424765+00:00
safenet.iad1.gcpfed.playskope.com.,34.96.79.79,A,0 (SSL Error),Unknown Provider,Unknown Provider - SSL Error,A -> 34.96.79.79,Dangling DNS Record,HIGH,Dangling Subdomain - Manual Validation Required,,2026-02-11T03:39:55.829968+00:00
sks.playskope.com.,34.82.140.3,A,0 (Connection Failed),Unknown Provider,Unknown Provider - Connection Failed,A -> 34.82.140.3,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:40:05.222960+00:00
srec.playskope.com.,34.107.149.94,A,200,Unknown Provider,Unknown Provider - HTTP 200,A -> 34.107.149.94,None - Active Service,MEDIUM,Active Subdomain - Verify Ownership,ESF,2026-02-11T03:40:09.664599+00:00
steered.playskope.com.,34.149.224.24,A,403,Unknown Provider,Unknown Provider - HTTP 403,A -> 34.149.224.24,Dangling DNS Record,HIGH,Dangling Subdomain - Manual Validation Required,UploadServer,2026-02-11T03:40:14.058275+00:00
tenable01.iad1.gcpfed.playskope.com.,35.244.249.5,A,0 (Connection Failed),Unknown Provider,Unknown Provider - Connection Failed,A -> 35.244.249.5,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:40:17.718891+00:00
test-daniel-01.playskope.com.,8.8.8.8,A,200,Unknown Provider,Unknown Provider - HTTP 200,A -> 8.8.8.8,None - Active Service,MEDIUM,Active Subdomain - Verify Ownership,scaffolding on HTTPServer2,2026-02-11T03:40:21.199183+00:00
test-daniel-02.playskope.com.,google.com,CNAME,404,Unknown Provider,Unknown Provider - Not Found (matched GCP Cloud Storage),CNAME -> google.com,Subdomain Takeover,CRITICAL,Confirmed Subdomain Takeover,,2026-02-11T03:40:24.397459+00:00
test-daniel-03.playskope.com.,netskope.com,CNAME,409,Unknown Provider,Unknown Provider - HTTP 409,CNAME -> netskope.com,Dangling DNS Record,HIGH,Dangling Subdomain - Manual Validation Required,cloudflare,2026-02-11T03:40:27.977052+00:00
test-dnsgw01.playskope.com.,1.1.1.1,A,403,Unknown Provider,Unknown Provider - HTTP 403,A -> 1.1.1.1,Dangling DNS Record,HIGH,Dangling Subdomain - Manual Validation Required,cloudflare,2026-02-11T03:40:30.447777+00:00
test-dnsgw02.playskope.com.,1.1.1.1,A,403,Unknown Provider,Unknown Provider - HTTP 403,A -> 1.1.1.1,Dangling DNS Record,HIGH,Dangling Subdomain - Manual Validation Required,cloudflare,2026-02-11T03:40:34.045296+00:00
test-dnsgw03.playskope.com.,1.1.1.1,A,403,Unknown Provider,Unknown Provider - HTTP 403,A -> 1.1.1.1,Dangling DNS Record,HIGH,Dangling Subdomain - Manual Validation Required,cloudflare,2026-02-11T03:40:36.480437+00:00
testmanoj.playskope.com.,106.51.23.7,A,0 (Timeout),Unknown Provider,Unknown Provider - Timeout,A -> 106.51.23.7,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:40:55.009757+00:00
test.provisioner.com.playskope.com.,70.42.129.65,A,0 (Timeout),Unknown Provider,Unknown Provider - Timeout,A -> 70.42.129.65,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:41:13.642432+00:00
tlog.playskope.com.,34.82.147.27,A,0 (Timeout),Unknown Provider,Unknown Provider - Timeout,A -> 34.82.147.27,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:41:31.984323+00:00
us3.playskope.com.,34.67.213.111,A,0 (Timeout),Unknown Provider,Unknown Provider - Timeout,A -> 34.67.213.111,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:41:51.272912+00:00
burpsuite1.iad1.gcpfed.govskope.com,35.190.54.122,A,404,Unknown Provider,Unknown Provider - HTTP 404,A -> 35.190.54.122,Dangling DNS Record,HIGH,Dangling Subdomain - Manual Validation Required,,2026-02-11T03:41:54.840896+00:00
infoblox01.iad1.gcpfed.govskope.com,34.96.69.143,A,200,Unknown Provider,Unknown Provider - HTTP 200,A -> 34.96.69.143,None - Active Service,MEDIUM,Active Subdomain - Verify Ownership,nginx/1.14.0 + Phusion Passenger(R) 6.0.18,2026-02-11T03:41:59.966056+00:00
infoblox01.pdx1.gcpfed.govskope.com,34.96.74.163,A,200,Unknown Provider,Unknown Provider - 404: This page could not be found (matched Gemfury),A -> 34.96.74.163,Subdomain Takeover,CRITICAL,Subdomain Takeover (Unclaimed Service Responding 200),,2026-02-11T03:42:03.663751+00:00
jenkins01.iad1.gcpfed.govskope.com,35.244.187.192,A,0 (Connection Failed),Unknown Provider,Unknown Provider - Connection Failed,A -> 35.244.187.192,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:42:06.685677+00:00
jenkins01.pdx1.gcpfed.govskope.com,34.96.73.245,A,200,Unknown Provider,Unknown Provider - HTTP 200,A -> 34.96.73.245,None - Active Service,MEDIUM,Active Subdomain - Verify Ownership,ESF,2026-02-11T03:42:10.221491+00:00
jenkins02.iad1.gcpfed.govskope.com,34.96.115.249,A,200,Unknown Provider,Unknown Provider - HTTP 200,A -> 34.96.115.249,None - Active Service,MEDIUM,Active Subdomain - Verify Ownership,ESF,2026-02-11T03:42:14.712613+00:00
nagios01.pdx1.gcpfed.govskope.com,34.95.120.25,A,200,Unknown Provider,Unknown Provider - HTTP 200,A -> 34.95.120.25,None - Active Service,MEDIUM,Active Subdomain - Verify Ownership,istio-envoy,2026-02-11T03:42:18.345348+00:00
nagios1.iad1.gcpfed.govskope.com,34.96.71.0,A,0 (Connection Failed),Unknown Provider,Unknown Provider - Connection Failed,A -> 34.96.71.0,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:42:21.123023+00:00
nsrepo01.iad1.gcpfed.govskope.com,34.95.95.235,A,400,Unknown Provider,Unknown Provider - HTTP 400,A -> 34.95.95.235,Dangling DNS Record,HIGH,Dangling Subdomain - Manual Validation Required,openresty,2026-02-11T03:42:25.384829+00:00
nsrepo01.pdx1.gcpfed.govskope.com,35.241.58.193,A,200,Unknown Provider,Unknown Provider - 404: This page could not be found (matched Gemfury),A -> 35.241.58.193,Subdomain Takeover,CRITICAL,Subdomain Takeover (Unclaimed Service Responding 200),Google Frontend,2026-02-11T03:42:28.127040+00:00
plfstcgp75dg.squid-proxy01.iad1.gcpfed.govskope.com,gv-dv6xui32s7sjpk.dv.googlehosted.com,CNAME,0 (Connection Failed),GCP Cloud Storage,GCP Cloud Storage - Connection Failed,CNAME -> gv-dv6xui32s7sjpk.dv.googlehosted.com [CNAME target NXDOMAIN],Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:42:30.631579+00:00
ptolemy01.iad1.gcpfed.govskope.com,35.201.108.254,A,404,Unknown Provider,Unknown Provider - HTTP 404,A -> 35.201.108.254,Dangling DNS Record,HIGH,Dangling Subdomain - Manual Validation Required,,2026-02-11T03:42:34.406179+00:00
redshirt01.iad1.gcpfed.govskope.com,130.211.44.24,A,200,Unknown Provider,Unknown Provider - HTTP 200,A -> 130.211.44.24,None - Active Service,MEDIUM,Active Subdomain - Verify Ownership,Google Frontend,2026-02-11T03:42:38.467286+00:00
safenet.iad1.gcpfed.govskope.com,34.96.79.79,A,0 (SSL Error),Unknown Provider,Unknown Provider - SSL Error,A -> 34.96.79.79,Dangling DNS Record,HIGH,Dangling Subdomain - Manual Validation Required,,2026-02-11T03:42:42.387293+00:00
tenable01.iad1.gcpfed.govskope.com,35.244.249.5,A,0 (Connection Failed),Unknown Provider,Unknown Provider - Connection Failed,A -> 35.244.249.5,Dangling DNS Record,HIGH,Orphaned DNS Record (No Server Responding),,2026-02-11T03:42:46.328292+00:00
